Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Antigua and Barbuda,ATG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,4.989085387,13.54486832,-2.229240201,16.49249477,-0.263298926,1.453135221,10.96578087,4.802025401,6.52053384,16.42160052,9.672835268,7.487588627,2.014086415,-6.043788255,9.78167173,3.907989754,7.144184433,2.252283501,7.095366245,7.066611764,-4.854742323,2.361037696,0.520448355,7.631327122,15.43925653,3.783604112,10.02460649,8.45095422,1.036327094,4.670390193,11.25651533,9.454948088,7.410570408,9.489013095,4.41285169,9.960009273,10.88379798,4.578913773,1.915522223,9.892007263,8.642111305,-0.490962553,0.504110647,1.329192613,3.459752077,2.988018405,4.156648389,4.019236153,2.421317447,4.71011346,0.851116319,4.603465146,5.305440309,6.074987317,6.890782692,6.412457853,5.49942245,4.126134743,3.920744486,-1.708298123,-8.507106224,-0.350521996,6.716689905,
Austria,AUT,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,6.408079923,10.14510172,5.440718043,10.71102053,-2.399193209,11.05941108,2.394314748,8.728568908,11.32421409,3.681570591,4.883443065,-0.084917281,1.583950325,8.320292246,8.954401778,-4.052241825,3.431828229,8.256938535,10.54407167,8.572220345,2.937297107,1.319385633,-2.373161134,5.688088417,7.205393151,4.63848657,11.02782215,7.851489852,6.433958839,13.52458036,5.771000326,4.286214461,0.53149485,8.661075695,6.665104857,7.576172205,7.571811082,2.170667787,-14.36811084,13.13107363,5.935361342,1.437692013,0.632693072,2.855297423,3.026567169,2.992876851,4.899554222,5.150933895,4.035267854,-10.48888913,9.476705012,9.996523716,-0.421756439,
Azerbaijan,AZE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.79955419,20.34689829,29.19711108,14.8169485,13.45543151,22.98503553,27.05044044,10.46603129,0.768622945,11.80837863,48.9433278,34.31148849,47.53711281,7.795903646,8.133173742,24.19950141,3.594954938,2.199999693,1.499999812,-1.097297149,,,,,,,,,,
Burundi,BDI,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.69282149,4.356435796,-7.603415732,25.40406227,-4.144899567,60.34135186,-9.69622067,16.95319237,10.51447523,11.40979499,61.78664291,-35.59764773,45.91861473,-1.560548176,38.81270151,-20.1970741,-1.608549522,-13.79136953,5.666743151,32.1585231,11.00004999,-0.481019982,-14.90000002,3.393635521,5.751720001,7.844440019,
Belgium,BEL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,4.504871419,11.05646239,14.12326318,3.705485429,-8.285391417,12.86701688,2.139934409,2.285601602,6.996171853,-0.150354919,3.391495881,2.778816112,2.626593505,6.471933483,0.332600367,2.737373032,4.966120354,9.632796699,8.151716721,4.573915594,3.055390619,3.666822372,-0.442316527,8.327623948,4.991947774,4.975124674,9.490560393,4.137764311,4.849251584,12.39693935,0.380176653,3.448349609,1.615397593,6.193380962,5.511085951,5.70060961,5.436030091,1.807653073,-11.30651697,10.43475669,4.820596453,-0.668885621,0.280390358,5.319720992,3.669749056,6.144557241,5.516277186,1.54494885,2.936561835,-5.957864591,14.65180696,5.782842191,-7.132884782,
Benin,BEN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,-21.69824816,-26.50603504,9.836378173,49.25334778,48.00473175,10.13541911,10.42935499,12.22220762,40.09911307,13.42724568,28.03719327,4.672397642,-7.008818957,-0.919791281,0.656751756,-3.576470626,7.068098401,9.672730151,35.89674289,10.84573915,9.191892103,-25.90433685,-27.4587142,37.20177708,27.66798475,-22.38974019,-6.223241244,-18.20435368,1.954903049,74.9422708,17.29396971,20.97810812,13.49644804,2.449470248,-1.757656533,-2.782511249,9.462931858,11.0855207,13.78838051,-10.56854828,4.788231071,10.02367154,1.797845922,-5.209084538,10.03276098,-0.295107913,27.23490038,10.09265441,-4.864682634,4.797788941,-9.710690975,24.09569718,22.73221851,24.94269045,-20.09590702,13.48128014,7,5,8.614557869,-24.96500563,12.55059623,19.08154578,6.224402492,
Burkina Faso,BFA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,3.336678518,0,29.02927095,-5.002188409,13.16278704,1.275034497,34.48132875,-7.69114883,7.404739911,-1.722985659,-7.893938522,4.761902099,46.00627133,24.02866574,-9.887459971,13.15822405,-13.95344847,-21.6213866,13.79227347,-1.082669942,5.054873223,25.43044223,-3.199681635,-18.10628327,26.9059034,-0.413184866,-12.86871299,6.857965323,38.19975409,-0.099930718,-18.70943984,7.080284586,35.68018218,-8.173272774,4.170264594,-1.407782045,-1.878388321,8.773619014,15.5591835,6.540388889,19.78005531,7.079938826,8.255064656,33.50104941,43.17352574,23.51072767,0.197620287,19.45233439,6.56240515,1.549355519,2.616476602,8.54510612,15.19770684,0.139532988,11.89567786,13.39337518,-8.421189697,-2.234113557,
Bangladesh,BGD,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,-11.50110565,20.79654364,4.830608893,3.742608146,-5.189871729,14.33244558,-11.76621835,4.000185206,4.597773716,10.48184611,-27.61810098,-22.88909462,85.74529786,-29.44027276,12.17450361,24.76786434,25.45434969,-7.668830477,16.50449285,0.955083045,-31.76700648,-4.455747302,9.235929925,-0.944640129,7.898771826,-1.149299585,1.900383759,10.67962676,8.901183453,17.78642763,-3.091548166,21.8455919,16.39291604,3.678369103,30.72410679,8.075394542,14.31777893,12.26754876,2.250689225,14.39815673,14.90388964,-0.164097459,-1.696385574,85.61331209,43.00126706,25.47630979,12.97560308,7.080609288,0.02850448,0.941532178,29.33912475,12.53225869,2.451884337,3.201149272,-2.829990167,2.196749645,-1.843280816,6.105919706,11.45647339,-17.50239229,9.191456118,29.3925551,8.032613221,
Bulgaria,BGR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.904975172,-2.006335117,6.421787763,9.253014747,12.58067347,0.656089785,10.28858339,-12.74791076,-14.03202115,-71.35485564,-45.51985484,5.702078859,2.396895268,2.768352795,29.60461832,29.95190849,7.096929704,-17.36830072,-17.72318324,-17.16072412,1.214922058,8.857679952,6.46249707,24.50790301,9.086311106,7.66317041,19.62264423,2.477858869,-11.71557447,11.03918253,12.55377809,2.03776462,9.632014215,3.052186061,6.478898819,8.612620163,5.743197235,1.733367475,3.995979017,-9.609006737,11.57486278,12.06539969,0.000170902,
